id,ts,asset,dir,entry,size,edge,left,ref,outcome,pnl,pps,pair,follower,in_0.51_0.60,in_0.51_0.80
894,2026-09-04T16:38:15,ETH,UP,0.704,200.0,8.1,7m left,2454.77,WIN,59.2,0.29600000000000004,True,True,False,True
897,2026-09-08T07:08:32,BTC,UP,0.608,15.0,4.1,6m left,78567.79,WIN,5.88,0.392,False,False,False,True
899,2026-09-08T13:35:08,ETH,DOWN,0.766,15.0,4.0,10m left,2475.29,WIN,3.51,0.23399999999999999,False,False,False,True
901,2026-09-08T20:03:11,BTC,UP,0.706,15.0,7.2,12m left,78428.99,WIN,4.41,0.294,False,False,False,True
903,2026-09-08T20:38:26,ETH,UP,0.567,15.0,4.6,7m left,2485.94,LOSS,-8.505,-0.5670000000000001,False,False,True,True
905,2026-09-09T06:22:21,BTC,DOWN,0.68,15.0,6.0,8m left,79270.52,WIN,4.8,0.32,False,False,False,True
907,2026-09-09T07:08:44,ETH,UP,0.72,15.0,7.8,6m left,2496.06,WIN,4.2,0.28,False,False,False,True
909,2026-09-09T10:49:41,ETH,DOWN,0.748,15.0,8.2,10m left,2495.81,WIN,3.78,0.252,False,False,False,True
911,2026-09-09T12:02:16,ETH,DOWN,0.762,15.0,7.8,13m left,2487.16,WIN,3.57,0.238,False,False,False,True
913,2026-09-09T23:04:59,ETH,DOWN,0.739,15.0,9.0,10m left,2461.59,WIN,3.915,0.261,True,False,False,True
914,2026-09-09T23:04:59,BTC,DOWN,0.749,15.0,5.8,10m left,78129.83,WIN,3.765,0.251,True,True,False,True
917,2026-09-09T23:20:03,ETH,UP,0.67,15.0,8.3,10m left,2448.12,WIN,4.95,0.33,True,False,False,True
918,2026-09-09T23:20:03,BTC,UP,0.788,15.0,-0.6,10m left,77862.46,WIN,3.18,0.21200000000000002,True,True,False,True
921,2026-09-10T14:21:40,ETH,UP,0.87,15.0,-10.3,8m left,2410.28,WIN,1.95,0.13,True,False,False,False
922,2026-09-10T14:21:40,BTC,UP,0.707,15.0,-1.2,8m left,76822.52,WIN,4.395,0.293,True,True,False,True
925,2026-09-10T15:07:12,ETH,DOWN,0.714,15.0,1.4,8m left,2434.62,WIN,4.29,0.286,True,False,False,True
926,2026-09-10T15:07:26,BTC,DOWN,0.787,15.0,-3.8,8m left,77165.89,WIN,3.195,0.213,True,True,False,True
929,2026-09-10T15:20:24,ETH,UP,0.697,15.0,6.1,10m left,2432.0,WIN,4.545,0.303,True,False,False,True
930,2026-09-10T15:20:27,BTC,UP,0.409,15.0,6.7,10m left,77080.52,WIN,8.865,0.591,True,True,False,False
933,2026-09-10T15:36:02,BTC,UP,0.658,15.0,8.3,9m left,77266.7,LOSS,-9.87,-0.6579999999999999,True,False,False,True
934,2026-09-10T15:36:02,ETH,UP,0.758,15.0,6.4,9m left,2438.79,WIN,3.63,0.242,True,True,False,True
937,2026-09-10T17:38:37,BTC,DOWN,0.334,15.0,20.4,6m left,76911.08,LOSS,-5.01,-0.33399999999999996,False,False,False,False
938,2026-09-10T17:38:42,ETH,UP,0.602,15.0,-0.9,6m left,2438.41,WIN,5.97,0.39799999999999996,False,False,False,True
941,2026-09-10T19:21:03,BTC,UP,0.781,15.0,6.6,9m left,77000.25,WIN,3.285,0.219,True,False,False,True
942,2026-09-10T19:21:03,ETH,UP,0.644,15.0,14.0,9m left,2456.36,WIN,5.34,0.356,True,True,False,True
945,2026-09-11T00:05:53,ETH,DOWN,0.302,15.0,52.2,9m left,2444.57,WIN,10.47,0.6980000000000001,False,False,False,False
946,2026-09-11T00:05:54,BTC,UP,0.741,15.0,5.9,9m left,76815.6,LOSS,-11.115,-0.741,False,False,False,True
949,2026-09-11T02:37:08,ETH,UP,0.668,15.0,15.9,8m left,2450.24,WIN,4.98,0.332,True,False,False,True
950,2026-09-11T02:37:12,BTC,UP,0.649,15.0,5.6,8m left,76802.09,WIN,5.265,0.351,True,True,False,True
953,2026-09-11T04:37:20,ETH,UP,0.715,15.0,4.4,8m left,2442.69,WIN,4.275,0.28500000000000003,True,False,False,True
954,2026-09-11T04:37:20,BTC,UP,0.559,15.0,5.1,8m left,76802.41,WIN,6.615,0.441,True,True,True,True
957,2026-09-11T13:34:18,BTC,UP,0.619,15.0,3.1,11m left,77088.72,WIN,5.715,0.381,True,False,False,True
958,2026-09-11T13:34:18,ETH,UP,0.751,15.0,4.9,11m left,2464.45,WIN,3.735,0.249,True,True,False,True
961,2026-09-11T13:47:01,ETH,UP,0.681,15.0,-8.9,13m left,2494.08,WIN,4.785,0.319,True,False,False,True
962,2026-09-11T13:47:01,BTC,UP,0.705,15.0,7.2,13m left,77568.4,WIN,4.425,0.295,True,True,False,True
965,2026-09-11T15:02:46,BTC,UP,0.76,15.0,4.3,12m left,79219.09,LOSS,-11.4,-0.76,False,False,False,True
967,2026-09-11T16:06:59,BTC,UP,0.459,15.0,7.5,8m left,78786.33,LOSS,-6.885,-0.45899999999999996,True,False,False,False
968,2026-09-11T16:06:59,ETH,UP,0.627,15.0,-10.4,8m left,2607.28,LOSS,-9.405,-0.627,True,True,False,True
971,2026-09-11T16:36:53,ETH,UP,0.391,15.0,32.8,8m left,2611.37,LOSS,-5.865,-0.391,False,False,False,False
972,2026-09-11T16:36:54,BTC,DOWN,0.596,15.0,5.7,8m left,78706.59,WIN,6.06,0.40399999999999997,False,False,True,True
975,2026-09-11T17:05:39,BTC,UP,0.759,15.0,-0.3,9m left,77723.27,WIN,3.615,0.24100000000000002,True,False,False,True
976,2026-09-11T17:05:40,ETH,UP,0.833,15.0,-1.3,9m left,2559.25,WIN,2.505,0.16699999999999998,True,True,False,False
979,2026-09-11T17:34:46,ETH,UP,0.756,15.0,6.4,10m left,2564.38,WIN,3.66,0.24400000000000002,True,False,False,True
980,2026-09-11T17:34:50,BTC,UP,0.687,15.0,5.3,10m left,77668.67,WIN,4.695,0.313,True,True,False,True
983,2026-09-11T19:17:36,ETH,UP,0.757,15.0,7.7,12m left,2539.12,WIN,3.645,0.243,False,False,False,True
984,2026-09-11T19:17:41,BTC,DOWN,0.255,15.0,36.5,12m left,77076.97,LOSS,-3.825,-0.255,False,False,False,False
987,2026-09-11T19:48:16,ETH,DOWN,0.556,15.0,-4.3,12m left,2540.76,WIN,6.66,0.444,True,False,True,True
988,2026-09-11T19:48:17,BTC,DOWN,0.662,15.0,6.3,12m left,77100.02,WIN,5.07,0.338,True,True,False,True
991,2026-09-11T23:04:21,BTC,UP,0.612,15.0,5.0,11m left,77094.77,WIN,5.82,0.388,True,False,False,True
992,2026-09-11T23:04:21,ETH,UP,0.772,15.0,-6.6,11m left,2515.7,WIN,3.42,0.228,True,True,False,True
995,2026-09-11T23:39:15,BTC,UP,0.661,15.0,7.8,6m left,77134.13,LOSS,-9.915,-0.6609999999999999,True,False,False,True
996,2026-09-11T23:39:15,ETH,UP,0.597,15.0,3.3,6m left,2518.23,LOSS,-8.955,-0.597,True,True,True,True
999,2026-09-14T13:03:26,BTC,UP,0.722,15.0,3.1,12m left,77750.15,WIN,4.17,0.27799999999999997,True,False,False,True
1000,2026-09-14T13:03:26,ETH,UP,0.761,15.0,3.2,12m left,2508.21,WIN,3.585,0.239,True,True,False,True
1003,2026-09-14T14:16:50,BTC,UP,0.764,15.0,5.1,13m left,77694.61,WIN,3.54,0.23600000000000002,True,False,False,True
1004,2026-09-14T14:16:55,ETH,UP,0.765,15.0,5.2,13m left,2498.02,WIN,3.525,0.235,True,True,False,True
1007,2026-09-14T14:46:03,BTC,UP,0.667,15.0,3.6,14m left,78129.14,WIN,4.995,0.333,True,False,False,True
1008,2026-09-14T14:46:03,ETH,UP,0.586,15.0,4.4,14m left,2508.22,LOSS,-8.79,-0.586,True,True,True,True
1011,2026-09-14T16:06:02,BTC,UP,0.39,15.0,6.5,9m left,78512.26,LOSS,-5.85,-0.38999999999999996,True,False,False,False
1012,2026-09-14T16:06:02,ETH,UP,0.651,15.0,3.3,9m left,2501.5,WIN,5.235,0.34900000000000003,True,True,False,True
1015,2026-09-14T16:39:07,ETH,UP,0.785,15.0,5.9,6m left,2500.53,WIN,3.225,0.215,True,False,False,True
1016,2026-09-14T16:39:07,BTC,UP,0.66,15.0,14.2,6m left,78395.1,WIN,5.1,0.33999999999999997,True,True,False,True
1019,2026-09-14T16:47:10,ETH,DOWN,0.79,15.0,4.4,13m left,2510.12,WIN,3.15,0.21,True,False,False,True
1020,2026-09-14T16:47:14,BTC,DOWN,0.844,15.0,-1.1,13m left,78547.92,LOSS,-12.66,-0.844,True,True,False,False
1023,2026-09-14T19:32:34,ETH,UP,0.713,15.0,-0.6,12m left,2539.41,WIN,4.305,0.287,True,False,False,True
1024,2026-09-14T19:32:34,BTC,UP,0.686,15.0,6.2,12m left,79147.55,WIN,4.71,0.314,True,True,False,True
1027,2026-09-14T21:32:52,ETH,DOWN,0.741,15.0,7.2,12m left,2598.96,WIN,3.885,0.259,True,False,False,True
1028,2026-09-14T21:32:52,BTC,DOWN,0.737,15.0,5.7,12m left,79439.45,WIN,3.945,0.263,True,True,False,True
1031,2026-09-14T22:18:17,BTC,DOWN,0.642,15.0,11.2,12m left,78871.48,LOSS,-9.63,-0.642,True,False,False,True
1032,2026-09-14T22:18:17,ETH,DOWN,0.509,15.0,7.9,12m left,2551.11,LOSS,-7.635,-0.509,True,True,False,False
1035,2026-09-15T02:33:44,BTC,UP,0.822,15.0,3.1,11m left,77858.12,WIN,2.67,0.178,True,False,False,False
1036,2026-09-15T02:33:44,ETH,UP,0.758,15.0,3.4,11m left,2511.04,WIN,3.63,0.242,True,True,False,True
1039,2026-09-15T06:18:16,BTC,DOWN,0.753,15.0,-1.7,12m left,77398.31,LOSS,-11.295,-0.753,True,False,False,True
1040,2026-09-15T06:18:17,ETH,DOWN,0.783,15.0,8.2,12m left,2483.04,LOSS,-11.745,-0.7829999999999999,True,True,False,True
1043,2026-09-15T11:47:12,BTC,UP,0.633,15.0,8.0,13m left,77025.85,WIN,5.505,0.367,True,False,False,True
1044,2026-09-15T11:47:13,ETH,UP,0.7,15.0,13.0,13m left,2478.45,WIN,4.5,0.3,True,True,False,True
1047,2026-09-15T14:47:47,BTC,DOWN,0.708,15.0,0.3,12m left,76399.25,LOSS,-10.62,-0.708,True,False,False,True
1048,2026-09-15T14:47:47,ETH,DOWN,0.617,15.0,2.4,12m left,2449.96,LOSS,-9.255,-0.6170000000000001,True,True,False,True
1051,2026-09-15T16:04:48,ETH,UP,0.662,15.0,-4.1,10m left,2406.6,WIN,5.07,0.338,True,False,False,True
1052,2026-09-15T16:04:52,BTC,UP,0.77,15.0,6.0,10m left,75902.83,WIN,3.45,0.23,True,True,False,True
1055,2026-09-15T16:19:02,ETH,UP,0.683,15.0,-3.8,11m left,2412.13,WIN,4.755,0.317,True,False,False,True
1056,2026-09-15T16:19:07,BTC,UP,0.667,15.0,6.4,11m left,75990.18,WIN,4.995,0.333,True,True,False,True
1059,2026-09-15T19:54:22,ETH,UP,0.818,15.0,1.0,6m left,2386.46,WIN,2.73,0.182,True,False,False,False
1060,2026-09-15T19:54:22,BTC,UP,0.567,15.0,3.8,6m left,75752.8,WIN,6.495,0.433,True,True,True,True
1063,2026-09-15T20:04:22,ETH,UP,0.685,15.0,-4.6,11m left,2401.77,WIN,4.725,0.315,True,False,False,True
1064,2026-09-15T20:04:27,BTC,UP,0.708,15.0,7.1,11m left,75961.25,LOSS,-10.62,-0.708,True,True,False,True
1067,2026-09-15T20:35:58,ETH,DOWN,0.568,15.0,7.8,9m left,2403.2,LOSS,-8.52,-0.568,True,False,True,True
1068,2026-09-15T20:36:03,BTC,DOWN,0.527,15.0,8.8,9m left,75876.35,WIN,7.095,0.473,True,True,True,True
1071,2026-09-15T21:32:29,ETH,UP,0.728,15.0,5.6,13m left,2398.34,WIN,4.08,0.272,True,False,False,True
1072,2026-09-15T21:32:29,BTC,UP,0.685,15.0,9.8,13m left,75701.2,WIN,4.725,0.315,True,True,False,True
1075,2026-09-15T21:47:27,ETH,UP,0.721,15.0,4.6,13m left,2403.98,WIN,4.185,0.27899999999999997,True,False,False,True
1076,2026-09-15T21:47:27,BTC,UP,0.754,15.0,-8.5,13m left,75812.41,WIN,3.69,0.246,True,True,False,True
1079,2026-09-15T22:38:13,ETH,UP,0.836,15.0,-2.3,7m left,2396.65,WIN,2.46,0.164,True,False,False,False
1080,2026-09-15T22:38:13,BTC,UP,0.658,15.0,7.4,7m left,75635.42,WIN,5.13,0.34199999999999997,True,True,False,True
1083,2026-09-15T23:04:02,ETH,UP,0.7,15.0,5.4,11m left,2389.56,LOSS,-10.5,-0.7,True,False,False,True
1084,2026-09-15T23:04:03,BTC,UP,0.704,15.0,5.0,11m left,75408.33,LOSS,-10.56,-0.7040000000000001,True,True,False,True
1087,2026-09-15T23:33:14,BTC,UP,0.709,15.0,8.0,12m left,75448.15,WIN,4.365,0.29100000000000004,True,False,False,True
1088,2026-09-15T23:33:14,ETH,UP,0.725,15.0,1.8,12m left,2392.37,WIN,4.125,0.275,True,True,False,True
1091,2026-09-16T04:09:20,BTC,DOWN,0.768,15.0,4.0,6m left,75833.7,LOSS,-11.52,-0.768,True,False,False,True
1092,2026-09-16T04:09:24,ETH,DOWN,0.752,15.0,4.5,6m left,2401.39,LOSS,-11.28,-0.752,True,True,False,True
1095,2026-09-16T13:34:47,BTC,UP,0.816,15.0,0.5,10m left,75870.15,WIN,2.76,0.184,True,False,False,False
1096,2026-09-16T13:34:47,ETH,UP,0.734,15.0,3.8,10m left,2405.21,WIN,3.99,0.266,True,True,False,True
1099,2026-09-16T15:06:51,ETH,UP,0.488,15.0,4.4,8m left,2391.76,LOSS,-7.32,-0.48800000000000004,True,False,False,False
1100,2026-09-16T15:06:55,BTC,UP,0.505,15.0,8.9,8m left,75596.85,LOSS,-7.575,-0.505,True,True,False,False
1103,2026-09-16T19:04:55,ETH,UP,0.791,15.0,-4.7,10m left,2386.47,WIN,3.135,0.209,True,False,False,True
1104,2026-09-16T19:04:55,BTC,UP,0.699,15.0,6.6,10m left,75699.66,WIN,4.515,0.301,True,True,False,True
1107,2026-09-16T19:21:10,ETH,UP,0.735,15.0,7.8,9m left,2400.25,WIN,3.975,0.265,True,False,False,True
